标题,日期时间,日期
A股提高MSCI纳入权重获加分项 新规更接近国际惯例,(11月08日 08:10),11月08日
曾在贵州茅台上赚过30倍的私募大佬 如今又语出惊人,(11月08日 07:17),11月08日
评论：退市如果不改革 脓包继续长大还是会痛的,(11月08日 07:01),11月08日
MSCI亚太研究部主管:认为停复牌新规更接近国际惯例,(11月08日 06:48),11月08日
纾困专项规模已超2000亿 3保险专项产品目标580亿,(11月08日 03:35),11月08日
险资连续50个季度 持仓金融行业市值第一,(11月08日 03:34),11月08日
证券日报头版:让科创板成为股市高质量发展领先板块,(11月08日 03:34),11月08日
大盘进入了短暂的休整期 A股已到调仓换股期,(11月08日 00:00),11月08日
十大博客看后市：变盘之后还要防止什么,(11月07日 15:22),11月07日
李大霄：停复牌制度对保护投资者利益有重要作用,(11月07日 10:59),11月07日
郭施亮：科创板来了 中国纳斯达克距离真的那么近吗,(11月07日 08:12),11月07日
上证报：资本市场新一轮改革号角已经吹响,(11月07日 07:42),11月07日
评论：设立科创板以增量改革助推科技企业跃升,(11月07日 07:00),11月07日
弘毅投资董事长：设立科创板鼓舞投资机构支持新经济,(11月07日 06:49),11月07日
建立巨额赔偿制度 为打好“保胃战”添筹码,(11月07日 03:04),11月07日
华鑫证券傅子恒：科创板落地需夯实准入等制度基础,(11月07日 02:16),11月07日
长城资产周礼耀：不良资产市场迎来新发展,(11月07日 02:16),11月07日
黄剑辉：多举措防止基建“大水漫灌”,(11月07日 02:14),11月07日
科创板+注册制：有望增加创投退出渠道,(11月07日 01:41),11月07日
评论：开设科创板试点注册制 是中国股市实质性利好,(11月07日 01:28),11月07日
“兜底定增”现身A股 定向可转债破局并购重组市场,(11月07日 01:11),11月07日
解禁时定增股东拼命找代持 定增承诺兜底存两大隐忧,(11月07日 01:11),11月07日
经济参考报：设立科创板将为新经济注入暖流,(11月07日 00:32),11月07日
科创板是科技股试金石 将加速科技创新型企业上市,(11月07日 00:01),11月07日
十大博客看后市：多空开始进入转换阶段,(11月06日 15:44),11月06日
80后执掌千亿国企燃爆西安 国企围城下民企如何提速,(11月06日 15:31),11月06日
易宪容：科创板的注册制将让股市市场化迈开一大步,(11月06日 14:39),11月06日
王宏远：看好基于注册制和国际化退市标准的长牛行情,(11月06日 13:43),11月06日
创投和上海本地股迎停潮 机构称反弹一波三折是常态,(11月06日 11:38),11月06日
德龙密语：本轮行情能走多远？,(11月06日 11:24),11月06日
中信证券秦培景：不用把创业板和科创板对立起来,(11月06日 08:42),11月06日
郭施亮：长航油运成重上市首股 踩雷退市股不都幸运,(11月06日 08:23),11月06日
科创板来了：创新企业筛选或跳出传统评价体系,(11月06日 08:17),11月06日
“试验田” 意义重大 证券业首席经济学家描绘科创板,(11月06日 07:35),11月06日
专家认为科创板料重点服务新经济中小企业,(11月06日 06:49),11月06日
分析人士：长油重新上市可喜 但第二家难找,(11月06日 06:36),11月06日
分析师：别把眼光只盯在印花税的税率上,(11月06日 06:36),11月06日
创投圈难掩兴奋：设立科创板是大改革大方向大趋势,(11月06日 06:35),11月06日
长生“退”长油“返” 退市制度改革再进一程,(11月06日 05:09),11月06日
星石投资：A股在加速去伪存真,(11月06日 01:00),11月06日
不断完善资本市场基础制度 A股迎来科创板,(11月06日 00:16),11月06日
爆炒之后都会归于理性 从三六零看重组股的炒作风险,(11月06日 00:16),11月06日
十大博客看后市：大盘一波三折暗示洗盘即将结束,(11月05日 15:13),11月05日
业内人士：科创板将促使部分高估值企业回归合理价值,(11月05日 14:55),11月05日
广发证券郭磊:跳开股市一时得失 科创版是一步对的棋,(11月05日 14:23),11月05日
科创板注册制将推出 基金：转板条件或苛刻 增量有限,(11月05日 14:15),11月05日
北京大学刘俏：引入注册制有利于培育优质上市公司,(11月05日 14:14),11月05日
评论：科创板有望激活一级市场 形成正循环,(11月05日 13:45),11月05日
市场热议科创板注册制：战略新兴板2.0来袭？,(11月05日 13:32),11月05日
李迅雷：通过科创板试点注册制是最好的选择,(11月05日 13:27),11月05日
邵宇：注册制试点为中小微企业获得支持提供全新通道,(11月05日 13:24),11月05日
上交所将设科创板并试点注册制 机构:让监管回归本质,(11月05日 13:08),11月05日
十大分析师解读设立科创板：真正的中国版纳斯达克？,(11月05日 12:47),11月05日
联讯证券首席策略师朱俊春：科创板设立有三大意义,(11月05日 12:45),11月05日
中阅资本孙建波：科创板有利于创企直接对接资本市场,(11月05日 12:44),11月05日
国金证券李立峰：“垃圾股、壳公司”炒作价值终结,(11月05日 12:42),11月05日
机构人士：推出科创板注册制为创投机构引入退出渠道,(11月05日 12:42),11月05日
财经评论员皮海洲:试点注册制 修法工作还须尽快跟上,(11月05日 12:40),11月05日
财经评论员江瀚：设科创板将减少中国市场壳资源炒作,(11月05日 12:38),11月05日
董登新：设科创板试点注册制将助推上交所国际化进程,(11月05日 12:33),11月05日
付立春：科创板设立很有必要 可弥补创板和三板缺陷,(11月05日 12:21),11月05日
李大霄：科创板推出 对多层次资本市场建设意义重大,(11月05日 11:25),11月05日
李大霄：博览会对贸易平衡有重大作用 利于股市回暖,(11月05日 10:34),11月05日
国盛证券：政策助暖冬行情修复 关注次新股投资机会,(11月05日 09:03),11月05日
评论:IPO节奏打破 比暂停IPO更重要的是压缩募资规模,(11月05日 08:17),11月05日
渤海银行王子芃：股市反弹或有压制“债牛”步子放缓,(11月05日 08:13),11月05日
让市场发挥自我监管能力 并不是放松监管不要监管,(11月05日 07:57),11月05日
李迅雷：如何应对被动去杠杆带来的潜在风险,(11月05日 06:59),11月05日
退市股重新上市首单面世 有利于保护其投资者利益,(11月05日 02:30),11月05日
优化交易监管 核心是要转到“依法监管”,(11月05日 02:30),11月05日
中证报头版:资金面年终考应无虞 一季度再次降准可期,(11月05日 02:00),11月05日
东吴证券孙玮：政策密集释放 增量资金加速进场,(11月05日 01:20),11月05日
上投摩根核心精选李博：进博会激发经济新动力,(11月05日 01:19),11月05日
长航油运重新上市 资本市场制度预期更明朗,(11月05日 01:12),11月05日
多重利好推动下 易方达创业板ETF规模破200亿创新高,(11月05日 00:33),11月05日
中邮基金：震荡市何处觅良机 找便宜才是硬道理,(11月05日 00:33),11月05日
下周影响市场重要资讯前瞻,(11月04日 14:52),11月04日
投资专家：现在买A股赔率5:1 向上50%VS向下最多10%,(11月04日 13:24),11月04日
评论：“国家队”离场也可能是利好,(11月04日 10:11),11月04日
评论：如不能取消证券印花税 也应实质性的降低标准,(11月04日 10:11),11月04日
回炉烧饼也脆：首例退市股重新上市具风向标意义,(11月04日 08:23),11月04日
A股大涨创板飙升 政策利好或助推中期反弹趋势开启,(11月02日 23:26),11月02日
十大博客看后市：下周回踩才是低吸机会,(11月02日 15:26),11月02日
评论：定向可转债对并购重组意义何在？,(11月02日 11:44),11月02日
利好不断助A股收复失地 机构强调“政策底”已夯实,(11月02日 11:38),11月02日
评论：印花税立法兼顾税收法定与相机调控,(11月02日 02:51),11月02日
中证报：证券交易印花税相机调控有利股市健康发展,(11月02日 02:18),11月02日
上市公司回购AB面： 有钱、有动力两难全,(11月02日 02:07),11月02日
专家：资本市场改革已成国家层面统一行动的综合工程,(11月02日 02:07),11月02日
证券日报评论：补短板成经济政策主要着力点,(11月02日 00:56),11月02日
安青松：“四个大小”制约市场发展,(11月02日 00:56),11月02日
A股身处改革发展大时代 五位一体方能激发市场活力,(11月02日 00:56),11月02日
股价与转股价之间的差距缩小 可转债迎布局好时机,(11月02日 00:47),11月02日
专家：资本市场一定会迎来大发展的春天,(11月02日 00:41),11月02日
政策“红包雨”十余条 11月股市开门红,(11月02日 00:16),11月02日
上投摩根：第四季度通胀不会成为A股核心矛盾,(11月01日 18:23),11月01日
十大博客看后市：两因素阻碍大盘行情发展,(11月01日 15:42),11月01日
德龙密语：大级别行情何时到来？,(11月01日 13:16),11月01日
吴晓求:不要把市场波动看成简单的周期 监管尚不成熟,(11月01日 12:58),11月01日
任泽平解读10月政治局会议和PMI数据:春天还会远吗？,(11月01日 12:12),11月01日
评论：茅台股价暴跌 索罗斯战胜巴菲特？,(11月01日 10:48),11月01日
别了，A股监管的“父爱主义”,(11月01日 10:39),11月01日
ST股保壳倒计时：13股或摘帽 14股将踩退市红线,(11月01日 07:00),11月01日
评论：回购新规下员工持股计划被寄厚望,(11月01日 06:35),11月01日
评论：越早回购提振投资信心效果越好,(11月01日 06:33),11月01日
证券日报评论：破解民企融资难题需建立长效机制,(11月01日 04:35),11月01日
平安千亿元回购预案提振信心 更多效仿或促市场回升,(11月01日 04:35),11月01日
A股市场底基本探明 更需“风物长宜放眼量”,(11月01日 04:34),11月01日
创业板：让资本活水灌溉双创企业未来,(11月01日 02:10),11月01日
上市公司股份回购行为需进一步规范,(11月01日 02:10),11月01日
财报遭“反对”渐多 公司治理亟待完善,(11月01日 00:58),11月01日
九年募资超七千亿 创业板融资能力显著提升,(11月01日 00:58),11月01日
这是底部特征之一 股指期货升水交易释放积极信号,(11月01日 00:06),11月01日
4只百元股业绩明显分化 “准百元股”出现断档,(11月01日 00:06),11月01日
十大博客看后市：突破2600点暗藏重磅积极信号,(10月31日 16:17),10月31日
湖南公安破获一起“炒股群”诈骗案 87人被刑拘,(10月31日 15:49),10月31日
凯石基金陈继武：A股调整已比较充分 重点布局龙头股,(10月31日 09:41),10月31日
A股史上绝无仅有 创业板指月线七连阴,(10月31日 09:07),10月31日
经济日报:外资撤离论以偏概全 中国仍是吸引外资热土,(10月31日 07:21),10月31日
股份回购要实锤 “奇葩”公告要管好,(10月31日 05:39),10月31日
专家：股权质押风险整体可控,(10月31日 05:39),10月31日
提振市场信心 需要参与各方共同努力,(10月31日 05:39),10月31日
证监会声明：减少对交易环节不必要干预,(10月31日 05:30),10月31日
中国平安最高千亿回购 公司回购股份不应再回到市场,(10月31日 04:18),10月31日
杨成长：抓住病根 多举措缓解民企发展阵痛,(10月31日 02:36),10月31日
王兆星：对我国资本市场充满信心,(10月31日 01:43),10月31日
创业板在资本市场走过九周年 逾六成个股上涨,(10月31日 00:52),10月31日
中国平安千亿回购标杆效应 利于蓝筹股走上慢牛之路,(10月31日 00:52),10月31日
修法触发上市公司回购潮 真金白银入市提振市场信心,(10月31日 00:51),10月31日
证监会盘中提减少干预交易 股指应声翻红,(10月31日 00:03),10月31日
贵州茅台今天再蒸发315亿 A股：我“戒酒了”,(10月30日 20:10),10月30日
经济日报：证监会230字声明绝对不是“不管了”,(10月30日 19:44),10月30日
证监会三条声明刷屏 评论：监管的在位、越位与归位,(10月30日 17:55),10月30日
巴菲特致股东的信之1968：偶然中的必然,(10月30日 17:48),10月30日
德龙密语：白马股杀跌空间有多大？,(10月30日 15:33),10月30日
十大博客看后市：大盘短期呈现三大积极现象,(10月30日 15:23),10月30日
金融券商股盘中发力 三季报是行情分化催化剂,(10月30日 11:46),10月30日
茅台“铁粉”但斌跌停后发声:没谈茅台 只谈价值投资,(10月30日 07:35),10月30日
媒体：只盯着资本市场直接融资功能 说明你“out”了,(10月30日 05:53),10月30日
证券时报：玫瑰再艳也会打蔫 茅台虽好也有周期,(10月30日 05:41),10月30日
中国证券报：完善基本制度 发挥资本市场枢纽功能,(10月30日 04:06),10月30日
中证报评论：纾困专项债是及时雨也是鞭策,(10月30日 03:54),10月30日
贵州茅台跌停引发投资圈热议 私募：再跌就补仓买入,(10月30日 00:41),10月30日
董宝珍：茅台基本面没问题 变的只是“肾上腺”,(10月30日 00:12),10月30日
新规落地后A股涌起回购热潮 多公司调整预案增加规模,(10月30日 00:05),10月30日
贵州茅台罕见“一”字跌停 白马股假摔还是真调整,(10月30日 00:05),10月30日
中证网：不宜夸大银行资本补充对股市影响,(10月29日 23:32),10月29日
8毛钱改变一个产品的命运 买理财“分红条款”要看清,(10月29日 22:20),10月29日
“股神、讲师团长”金华受审 河北邮币卡诈骗案开庭,(10月29日 18:55),10月29日
借鸡生蛋的艺术：应付账款科目解析,(10月29日 17:49),10月29日
上市公司炒股巨亏 不务正业理当被监管,(10月29日 17:35),10月29日
十大博客看后市：资金向新主线有序切换,(10月29日 15:24),10月29日
湖北银行制作的基金宣传材料未合规检查 被责令改正,(10月29日 13:33),10月29日
中泰证券：理性看待白酒行业增速回落,(10月29日 11:09),10月29日
贵州茅台的增长在4到5年前都定好了,(10月29日 10:21),10月29日
皮海洲：贵州茅台何以大跌 不妨让白酒股全部退市,(10月29日 09:49),10月29日
华泰证券给茅台净利暴跌找理由：目标价652元,(10月29日 09:44),10月29日
私募：市场有望逐渐走出估值修复行情,(10月29日 09:25),10月29日
杜坤维：降印花救市历史证明无效 不治本乃激素疗法,(10月29日 09:01),10月29日
郭施亮：回购助推美股长牛 A股回购潮影响多大？,(10月29日 08:45),10月29日
半夏投资李蓓：茅台的业绩雷和一个时代的结束,(10月29日 08:00),10月29日
皮海洲：让股份回购成为维护上市公司股价的稳定器,(10月29日 07:59),10月29日
中银基金李建：大金融板块有望获得超额收益,(10月29日 07:05),10月29日
基金经理看市：难言市场触底 四季度配置更加谨慎,(10月29日 04:01),10月29日
中上协：强化上市公司财务管理和信披质量,(10月29日 04:00),10月29日
上市公司回购热情高 业内提醒谨防“忽悠式”回购,(10月29日 04:00),10月29日
董理：A股最悲观时段已经结束,(10月29日 03:15),10月29日
维护股市“三公”最为关键 让“市场底”筑得更牢,(10月29日 02:30),10月29日
完善上市公司股份回购行为 需要推出配套专项制度,(10月29日 02:30),10月29日
交易所惩罚性违约金或可用于补偿投资者,(10月29日 02:05),10月29日
不仅能帮危机公司解困 国资驰援上市公司一举多得,(10月29日 00:02),10月29日
A股今年与2015年的同与不同：投资者伤得比2015年重,(10月28日 18:39),10月28日
曹中铭：对操纵市场的“惯犯”理应刑法伺候,(10月28日 17:16),10月28日
下周影响市场重要资讯前瞻,(10月28日 15:01),10月28日
李大霄：回购制度筑牢A股儿童底 市场稳定可期待,(10月27日 10:04),10月27日
吴可仲：汉能回A之路备受关注 A股亟须优质企业回归,(10月27日 04:52),10月27日
黄志龙：为何宽货币难以达到信用扩张的效果,(10月27日 04:00),10月27日
夏丹 ：房地产市场预期正悄然生变,(10月27日 04:00),10月27日
付建利：本轮反弹的逻辑演进与机会把握,(10月27日 02:53),10月27日
程喻：用平常心期待A股反弹,(10月27日 02:53),10月27日
证券时报评论：A股任何级别的反弹都在情理之中,(10月27日 02:53),10月27日
宋清辉：A股也曾领涨全球 行情修复尚待时日,(10月27日 02:51),10月27日
闻韶：为何波动率的钱越来越难挣,(10月27日 02:51),10月27日
证券时报：莫把“高科技”当成拿补贴的借口,(10月27日 02:51),10月27日
王军：着力扭转当前稳中有忧的经济局面,(10月27日 00:37),10月27日
新华社：公司法修改 股份回购制度“升级”,(10月26日 22:06),10月26日
国家频频出手 股市迎来春天？,(10月26日 20:15),10月26日
十大博客看后市：大盘探底风险还没有解除,(10月26日 15:05),10月26日
李大霄：A股摆脱跟跌不跟涨 金融地产两牛角启动迹象,(10月26日 10:20),10月26日
摩根大通：A股下跌带来大量机会 逢低吸纳优质科技股,(10月26日 09:00),10月26日
桂浩明：好了伤疤别忘疼 质押规则要完善,(10月26日 07:05),10月26日
投保白皮书:上市公司分红更趋制度化 业绩预告更准了,(10月26日 07:05),10月26日
证券日报：民营企业做大做强 离不开资本市场,(10月26日 06:00),10月26日
证券日报：经济改革与股市解困都需要混改提速,(10月26日 06:00),10月26日
证券时报：纠偏悲观预期 A股应回归独立运行格局,(10月26日 04:41),10月26日
桥水基金：欧美经济周期近尾声 应将目光投向亚洲,(10月26日 03:48),10月26日
中证报：权重发力 A股渐摆脱“跟跌不跟涨”,(10月26日 03:33),10月26日
华融证券:供给侧改革下半场 房地产投资短期仍具韧性,(10月25日 22:53),10月25日
刘胜军：中国应宣布永久性取消印花税,(10月25日 20:10),10月25日
十大博客看后市：A股逆袭背后有何深意,(10月25日 15:18),10月25日
但斌：焦虑中寻找中国的破局 A股低估值面临投资良机,(10月25日 14:04),10月25日
任泽平评美股暴跌:特朗普景气或终结 美国经济或见顶,(10月25日 08:37),10月25日
光大控股杨平：外资不断提高A股投资比重是必然趋势,(10月25日 06:24),10月25日
证券日报：提振A股信心 各方落实力度可以更大一点,(10月25日 06:24),10月25日
证券时报头版：建议为亏损投资者减免股票交易印花税,(10月25日 03:50),10月25日
维稳不同于救市 A股维稳背景下应该如何投资？,(10月25日 02:30),10月25日
化解质押风险 民企也要强化自我约束,(10月25日 02:30),10月25日
专家：加强A股制度建设 吸引长期资金入市,(10月25日 01:56),10月25日
“仙股”退市或更频繁 投资者保护是关键,(10月25日 00:06),10月25日
更多只是超跌反弹下的投机 壳股炒作行情走不远,(10月25日 00:01),10月25日
德龙密语：大盘是否已经探底成功？,(10月24日 16:00),10月24日
十大博客看后市：反弹力度还可再大一点,(10月24日 15:48),10月24日
天风证券：两融数据看市场情绪与杠杆后遗症,(10月24日 13:17),10月24日
评论：真金白银救市是“救急” 慢性病也得治,(10月24日 07:23),10月24日
熊锦秋：强化增持计划可执行性还须更严密,(10月24日 06:35),10月24日
张锐：并购重组别光踩油门 还要把好方向盘,(10月24日 06:35),10月24日
如何理解纾解股权质押风险的金融本质,(10月24日 06:33),10月24日
中国证券报：“驰援”民营企业是双赢,(10月24日 05:20),10月24日
兴全基金：当前经济环境下的资产配置建议,(10月24日 05:09),10月24日
东方证券邵宇:疏通货币政策传导机制 促企业融资发展,(10月24日 05:09),10月24日
评论：股市振兴离不开投资者支持参与,(10月24日 04:49),10月24日
大发审委新名单猜想:谁人留任谁出局?兼职委员难连任,(10月24日 02:59),10月24日
壳股嗅到复苏味躁动两日：惜售再现 壳价或反弹,(10月24日 02:59),10月24日
A股不是提款机 上市公司业绩提升要靠做大做强主业,(10月24日 02:30),10月24日
回购可尽快实施 无需等待新规出台,(10月24日 02:30),10月24日
融资客众生相：忙拆杠杆 主动离场,(10月23日 20:51),10月23日
十大博客看后市：白马股搅局大盘还有戏吗,(10月23日 15:32),10月23日
借你一双慧眼 哪些ST公司重组意味够真够实？,(10月23日 09:02),10月23日
经济日报：股权质押风险不该由二级市场承担,(10月23日 07:49),10月23日
评论：面对股市波动 既要保持定力也要坚持改革,(10月23日 07:12),10月23日
盘和林：A股“1元退市股”首要考量投资者利益,(10月23日 05:39),10月23日
证券日报：股市改革一揽子措施有三大特点,(10月23日 04:39),10月23日
A股最坚定多头来了 手握26.53万亿元资金,(10月23日 01:46),10月23日
刘士余：鼓励私募股权与创投基金参与企业并购重组,(10月23日 01:36),10月23日
刘士余：修改公司法股份回购规定十分必要,(10月23日 01:36),10月23日
A股放量掀涨停潮 机构：或许是全年最好行情,(10月23日 01:27),10月23日
博时基金：四季度主要配置防守行业,(10月23日 01:16),10月23日
国寿安保基金：政策底夯实 看好短期反弹,(10月23日 01:16),10月23日
险资：主抓减税和质押风险缓释主线,(10月23日 01:16),10月23日
中国证券报：对地方国资“救急”行为的质疑可休矣,(10月23日 01:14),10月23日
王宏远:中国A股未来3年将走赢国际主要资本市场超50%,(10月23日 01:10),10月23日
代表市场风向标的券商股集体涨停 A股强力反弹,(10月23日 00:01),10月23日
股市百点暴涨后 券商等业内人士:看好券商和科技股,(10月22日 15:42),10月22日
十大博客看后市：大盘大涨但还有几丝隐忧,(10月22日 15:08),10月22日
决策层高度关注 市场利好云集 A股反弹空间或超预期,(10月22日 12:14),10月22日
创业板大涨5.69% 两市近150只个股涨停,(10月22日 12:12),10月22日
李大霄：救市已经成功 是反转不是反弹,(10月22日 12:02),10月22日
李大霄：中国股市春天已经到来的六大理由,(10月22日 11:09),10月22日
长城基金向威达：A股正在接近历史大底,(10月22日 06:33),10月22日
杨德龙：市场赶底行程或将大大缩短,(10月22日 06:33),10月22日
驰援A股模式 深圳为何再度开风气之先,(10月22日 06:33),10月22日
皮海洲：中弘股份成“面值退市”第一股利于净化市场,(10月22日 02:46),10月22日
评论：营造良好股市发展氛围需要各方一起努力,(10月22日 02:38),10月22日
鼓励市场化并购监管须同步跟上 防止成利益输送工具,(10月22日 02:30),10月22日
要让股市有底 上市公司经营者心里要装着中小股东,(10月22日 02:30),10月22日
西部证券：沪指围绕2500点宽幅震荡 增量资金仍谨慎,(10月22日 00:59),10月22日
招商证券：A股市场投资价值凸显 可均衡配置分散风险,(10月22日 00:58),10月22日
中证报：加快政策落地 提振市场信心,(10月22日 00:58),10月22日
公私募基金力挺A股：投资价值凸显 积极把握市场机会,(10月22日 00:58),10月22日
管理层发文支持上市公司并购重组 将利好中小盘股票,(10月22日 00:06),10月22日
不存在国进民退 A股今年13家国资上市公司欲迎民资,(10月22日 00:06),10月22日
管理层力挺 政策底悄然构筑 A股将有望迎来市场底,(10月22日 00:02),10月22日
壳股“围城”：有人买壳中“圈套”有人卖壳打两折,(10月22日 00:01),10月22日
壳市场游戏规则悄然生变：买方话语权提高,(10月22日 00:01),10月22日
叶檀：股市跌无可跌无须再怕 “春天底”快要到了,(10月21日 21:58),10月21日
社论：当前A股关键在信心修复,(10月21日 21:03),10月21日
下周影响市场重要资讯前瞻,(10月21日 15:03),10月21日
黄奇帆:深化资本市场基础性制度改革若干思考和建议,(10月21日 10:36),10月21日
董宝珍：一流的投资能力首在“克己”,(10月21日 09:50),10月21日
A股回购任重道远 细节尚需完善,(10月21日 09:50),10月21日
黄奇帆:一个市场只进不出 就是僵尸市场（演讲全文）,(10月21日 09:30),10月21日
黄奇帆:印花税现在就可取消 全世界只有中国印度在收,(10月21日 09:18),10月21日
程喻：不是所有的公司都值得被救,(10月20日 02:43),10月20日
申万宏源证券桂浩明：保持定力 理性对待市场变化,(10月20日 02:43),10月20日
闻韶：又见董事长增持“檄文”,(10月20日 02:43),10月20日
陈嘉禾：凭借价值投资降低亏损,(10月20日 02:43),10月20日
新时代证券：加大优先股发行解除股权质押风险,(10月20日 01:40),10月20日
十大博客看后市：下周大盘确认年内低点,(10月19日 15:06),10月19日
李大霄：2449点非常有可能形成政策底,(10月19日 13:50),10月19日
"一行两会负责人连续发声 监管层给市场吃下""定心丸""",(10月19日 11:20),10月19日
李大霄：一行两会在2449附近构筑政策底,(10月19日 11:04),10月19日
李大霄：六大措施属重大利好 政策底味道越来越浓,(10月19日 10:15),10月19日
德龙密语：市场企稳回升还要等多久？,(10月19日 09:16),10月19日
华泰策略：市场风险偏好下行 有色金属板块加速分化,(10月19日 08:47),10月19日
两融余额持续低于7900亿 融资客持仓：加消费减科技,(10月19日 04:06),10月19日
证券日报：QFII积极布局A股发出积极信号,(10月19日 04:06),10月19日
评论：多数据支持 股市上涨动力仍存,(10月19日 04:06),10月19日
针对深层次的问题 A股特殊时期应采取特殊举措救市,(10月19日 02:30),10月19日
弱势行情之下 年报行情布局窗口已开启,(10月19日 00:13),10月19日
中弘股份退市成定局 61只“准仙股”现身,(10月18日 13:28),10月18日
评:警惕新一轮做空中国优质公司风潮 外资已暴赚百亿,(10月18日 11:16),10月18日
皮海洲：A股该不该救市？拿什么来救市？,(10月18日 08:18),10月18日
证券时报：不管民资还是国资能化解质押风险就是好资,(10月18日 07:03),10月18日
评论：国资入市“救助”背后折射民营企业投资低效,(10月18日 06:45),10月18日
中弘股份被终止上市 是市场的理性选择,(10月18日 02:30),10月18日
道达投资手记：国足赢球美股大涨 昨天A股终于反弹了,(10月18日 01:42),10月18日
谭浩俊：中弘股份能当个退市“标兵”吗？,(10月18日 01:22),10月18日
投资总监多空之辩：A股正在磨底 高股息板块受青睐,(10月18日 01:10),10月18日
国金基金：后市难言轻易触底 但机会明显大于风险,(10月18日 01:10),10月18日
评论：多方面发力 A股市场国际化步伐加速,(10月18日 01:09),10月18日
郑眼看盘：A股探底回升 市场人气有所提振,(10月18日 00:52),10月18日
看似美丽实则暗藏投资风险 远离尾盘“秒拉”个股,(10月18日 00:03),10月18日
理由五花八门 细数重要股东增持“失诺”三大类型,(10月18日 00:02),10月18日
维护股价稳定 多家公司大股东拟兜底增持,(10月18日 00:02),10月18日
A股三大股指高开低走 救市重要 治市更重要,(10月17日 19:35),10月17日
十大博客看后市：大盘为何出现惊天逆转,(10月17日 17:39),10月17日
评论:国资数百亿资金驰援上市公司 更要落实制度利好,(10月17日 12:42),10月17日
化解A股“黑天鹅”风险 需要寻求治本之策,(10月17日 02:30),10月17日
错杀下跌只会是暂时的 银行股破净跌出“黄金坑”,(10月17日 00:00),10月17日
十大博客看后市：大盘强势反弹进入倒计时,(10月16日 16:08),10月16日
刘士余座谈会2.5小时:传递4大信号和股民的10大关切,(10月16日 08:33),10月16日
沪伦通“通车”冲刺 专家称将平滑市场周期波动,(10月16日 04:34),10月16日
“股市的春天”应该有起有落 总体稳中有升,(10月16日 02:30),10月16日
看好低估值“洋散户”积极入市,(10月16日 00:30),10月16日
低市盈率小盘股不一定安全 主要存在两个投资风险,(10月16日 00:01),10月16日
十大博客看后市：市场或将砸出罕见大机会,(10月15日 15:37),10月15日
德龙密语：不破不立 大盘能否否极泰来？,(10月15日 14:07),10月15日
刘士余周末提“春天论” Ａ股三大指数涨跌不一,(10月15日 09:51),10月15日
投资者保护基金 该怎样真正保护投资者？,(10月15日 02:30),10月15日
沪伦通或将带来新的 跨市场组合投资机会,(10月15日 01:42),10月15日
融资用途放宽 上市公司资金压力有望缓解,(10月15日 00:02),10月15日
下周影响市场重要资讯前瞻,(10月14日 14:56),10月14日
市场操纵者任良成再次被罚：3年领3.6亿罚单,(10月12日 21:51),10月12日
李迅雷：沪伦通推出的意义重大,(10月12日 19:04),10月12日
仇彦英建言中国股市:投资价值是获得投资收益的基础,(10月12日 16:08),10月12日
牛春宝建言中国股市:做假上市或财务粉饰者牢底坐穿,(10月12日 13:59),10月12日
长盛基金市场异常波动点评:对A股市场没必要过度悲观,(10月12日 13:39),10月12日
皮海洲建言中国股市：做好修法使证券法成严刑峻法,(10月12日 13:25),10月12日
A股两天蒸发4万亿提前入冬 信托收益率上涨暖意融融,(10月12日 13:11),10月12日
去年公募冠军林鹏：每一次下跌都意味着距离转机越近,(10月12日 12:49),10月12日
李大霄:十理由保护上证50儿童底 稳定市场信心最重要,(10月12日 10:37),10月12日
多家公司表态：股市持续调整 或将出手维稳,(10月12日 07:57),10月12日
桂浩明：中小市值股票活跃度在分化中会下降吗,(10月12日 06:50),10月12日
评论：抗癌药降价之后更需保障供应,(10月12日 05:56),10月12日
业内人士谈市场：专业机构在逢低投资,(10月12日 05:55),10月12日
恒生前海基金：A股估值处于历史低位,(10月12日 02:15),10月12日
机构看市：注重长线投资 期待政策实效,(10月12日 01:32),10月12日
官媒：应采取措施维稳A股 如央行对证金注入流动性等,(10月12日 00:31),10月12日
买入理由应是看好公司未来 下修转股价投资者别心动,(10月12日 00:00),10月12日
中石油等公司集体发声维稳股价 A股会“否极泰来”吗,(10月11日 23:15),10月11日
张忆东:我看到做空市场的机会 就像看到当年港股牛市,(10月11日 22:55),10月11日
曹凤岐：提高上市公司质量是振兴A股的根本出路,(10月11日 22:46),10月11日
证券时报社评：廓清迷雾恢复信心 积极作为稳定股市,(10月11日 22:27),10月11日
美股“失火”殃及A股 机构激论“底”在何处？,(10月11日 20:57),10月11日
招商基金：A股估值经过连续大幅下跌之后更具吸引力,(10月11日 20:16),10月11日
刘纪鹏：股市有自身的纠错机制,(10月11日 20:03),10月11日
全球股市滑铁卢 苏培科：A股应该走出一条独立的道路,(10月11日 19:21),10月11日
水皮杂谈：覆巢之下无完卵 全球市场或进入调整周期,(10月11日 18:25),10月11日
长江商学院周春生：A股绩优股的投资机会也许到了,(10月11日 16:56),10月11日
A股：等我病好了 再来买我吧,(10月11日 16:36),10月11日
水皮：谁动了特朗普的本钱？,(10月11日 16:35),10月11日
十大博客看后市：大盘重新进入寻底阶段,(10月11日 15:52),10月11日
董少鹏：中国股市该上涨了 还在等什么？,(10月11日 14:37),10月11日
滕泰:A股已经严重超跌 应尽快出台提振股市信心政策,(10月11日 13:29),10月11日
